CO_IES,X_Regiao,X_UF,X_Org_Acad,X_Rede,X_Cat_Adm,Y_Proporcao_PcD,X_Porte_Alunos,X_Num_Cursos,X_Pct_EAD,X_Pct_Licenciatura,X_Pct_Apoio_Social,X_Pct_Ativ_Extra,X_Pct_Mob_Academica
1,Centro-Oeste,Mato Grosso,1,1,1,0.019874001428849777,15397.0,153.0,0.12359550561797752,0.18243813729947392,0.126777943755277,0.33513022017276095,0.0025329609664220304
2,Centro-Oeste,Distrito Federal,1,1,1,0.005745526335771596,39509.0,187.0,0.024956339061985876,0.2053962388316586,0.18221164797894152,0.27535498240907136,0.0024551368042724443
3,Nordeste,Sergipe,1,1,1,0.021321502412129566,23216.0,207.0,0.06758270158511372,0.32873880082701584,0.21399035148173673,0.2636543762922123,0.00025844245348035836
4,Norte,Amazonas,1,1,1,0.010554340591423409,21034.0,117.0,0.05733574213178663,0.3759151849386707,0.10787296757630503,0.0415993153941238,0.00014262622420842445
5,Nordeste,Piauí,1,1,1,0.014876940741850132,20031.0,292.0,0.10823224002795667,0.4379212221057361,0.11851629973541011,0.38660076880834704,0.0
6,Sudeste,Minas Gerais,1,1,1,0.011350358871640794,11982.0,108.0,0.07043899182106493,0.18369220497412786,0.28459355700216993,0.3170589217159072,0.004089467534635286
7,Sudeste,São Paulo,1,1,1,0.0005238344683080147,13363.0,83.0,0.041906757464641176,0.2582503928758512,0.03442340791738382,0.022450048641772056,0.0
8,Sudeste,Minas Gerais,1,1,1,0.012219959266802444,13257.0,82.0,0.0,0.1750773176435091,0.2236554273214151,0.5323225465791658,0.0027155465037338763
9,Sul,Paraná,1,1,2,0.016638319899430598,13523.0,72.0,0.02070546476373586,0.22214005767950898,0.02602972713155365,0.7457664719367004,0.005176366190933965
10,Sul,Paraná,1,2,5,0.005406149925966736,29041.0,154.0,0.37471161461382185,0.07313797734237802,0.008023139699046175,0.3028132640060604,0.006886815192314314
11,Nordeste,Pernambuco,1,2,5,0.00961419943300875,8113.0,57.0,0.04129175397510169,0.13903611487735731,0.0,0.3225687168741526,0.002465179341797116
12,Sul,Rio Grande do Sul,1,1,1,0.022397721387881927,7724.0,94.0,0.04363024339720352,0.23006214396685656,0.33493008803728636,0.5326255825996893,0.0016830657690315898
13,Sul,Rio Grande do Sul,1,2,5,0.004081095313322802,15192.0,274.0,0.1644286466561348,0.08260926803580831,0.08642706687730384,0.6136782517114271,0.0011190100052659293
14,Sul,Rio Grande do Sul,1,2,5,0.014683489232107896,18388.0,278.0,0.4928214052643028,0.0738525125081575,1.4640526430280618,0.22329780291494453,0.0027191646726125733
15,Sudeste,Rio de Janeiro,1,2,5,0.006947282386595832,2447.0,41.0,0.14589293011851245,0.1348590110339191,0.0,0.29628116060482224,0.0
17,Sudeste,Minas Gerais,1,1,1,0.019064284398600112,21716.0,130.0,0.016163197642291398,0.10862958187511512,0.7748204089150856,0.4540891508565113,0.0014735678762202984
18,Sul,Rio Grande do Sul,1,2,5,0.005740181268882176,3310.0,34.0,0.3302114803625378,0.019637462235649546,0.036858006042296075,0.23021148036253777,0.004833836858006042
19,Sudeste,São Paulo,1,2,5,0.012587310826542492,13744.0,65.0,0.0,0.03863504074505238,0.0,0.3084254947613504,0.0014551804423748546
20,Sul,Rio Grande do Sul,1,2,5,0.004009504009504009,6734.0,93.0,0.03682803682803683,0.10142560142560142,0.03578853578853579,0.14092664092664092,0.003564003564003564
21,Sul,Rio Grande do Sul,1,2,5,0.0010004287551807919,13994.0,133.0,0.14470487351722167,0.04194654852079462,0.004430470201514935,0.29091039016721454,0.004859225382306703
22,Sudeste,São Paulo,1,2,5,0.0030286557427972355,25754.0,323.0,0.127125883357925,0.03211151665760659,0.0,0.33800574668012734,0.0030286557427972355
23,Sul,Rio Grande do Sul,1,2,5,0.014140346240253733,7567.0,157.0,0.1386282542619268,0.04440333024976873,0.0,0.3022333817893485,0.0011893749174045195
24,Nordeste,Bahia,1,1,2,0.007860752386299831,7124.0,73.0,0.09783829309376754,0.35569904548006737,0.39752947782144865,0.23498034811903426,0.0036496350364963502
26,Sudeste,Rio de Janeiro,3,1,1,0.0,315.0,1.0,0.0,0.0,0.07301587301587302,0.346031746031746,0.0
27,Sudeste,Minas Gerais,2,2,5,0.0015932023366967605,1883.0,22.0,0.0525756771109931,0.044078597981943704,0.0,1.2623473181093998,0.0
29,Nordeste,Ceará,1,1,2,0.012593901900132567,18104.0,211.0,0.15604286345558993,0.6359920459566947,0.02275740167918692,0.12422669023420238,0.0003314184710561202
30,Sudeste,Minas Gerais,1,2,5,0.0014304105278214847,6991.0,59.0,0.05707338006007724,0.008296381061364612,0.0,1.2427406665713059,0.0
32,Nordeste,Alagoas,1,1,2,0.008908685968819599,1347.0,32.0,0.17743132887899035,0.09873793615441723,0.09799554565701558,0.24498886414253898,0.0
33,Sudeste,São Paulo,3,1,2,0.02425467407781708,1979.0,12.0,0.0,0.0,0.0,0.0,0.0
34,Sudeste,São Paulo,3,1,2,0.017765353052574623,11089.0,62.0,0.6424384525205158,0.0,0.0,0.0,0.0
35,Sudeste,São Paulo,3,1,2,0.028942115768463075,2004.0,9.0,0.0,0.0,0.0,0.018962075848303395,0.0
36,Sudeste,São Paulo,3,1,2,0.025097360450021637,2311.0,9.0,0.0,0.0,0.0,0.018606663781912593,0.0008654262224145391
37,Sudeste,São Paulo,3,1,2,0.03794642857142857,896.0,8.0,0.0,0.0,0.0,0.0,0.0
38,Norte,Pará,1,1,2,0.0021850899742930593,15560.0,164.0,0.056812339331619534,0.5338688946015424,1.0440874035989718,0.02345758354755784,0.0
40,Nordeste,Bahia,1,1,2,0.011790967889645699,17471.0,231.0,0.060271306736878257,0.5054089634251044,0.2462938583939099,0.16507355045503977,0.0
43,Sul,Santa Catarina,1,1,2,0.03591373002118236,10386.0,95.0,0.060466011939148856,0.19468515309069903,0.15077989601386482,0.435104948969767,0.0016368187945310995
47,Centro-Oeste,Goiás,1,1,2,0.014828772734720629,12206.0,180.0,0.07389808291004424,0.4174176634442078,0.0496477142388989,0.18302474193019827,0.00016385384237260363
54,Sudeste,São Paulo,1,1,2,0.004943102826836929,19421.0,83.0,0.0,0.1889707018176201,0.2843828845064621,0.29262138921785696,0.011173472014829308
55,Sudeste,São Paulo,1,1,2,0.0012706480304955528,62173.0,281.0,0.0,0.12156402296816947,0.33020764640599615,0.26543676515529246,0.01822334453862609
56,Sudeste,São Paulo,1,1,2,0.00636924564246922,35169.0,211.0,0.012937530211265603,0.2252836304700162,0.21123716909778498,0.2331598851261054,0.005629958201825471
57,Sul,Paraná,1,1,2,0.03013741411617739,12808.0,162.0,0.0863522798251093,0.2683479075577764,0.03232354778263585,0.27240787008119927,0.003123048094940662
58,Sudeste,São Paulo,3,1,7,0.002380952380952381,1680.0,1.0,0.0,0.0,0.0,0.0,0.0
59,Sudeste,São Paulo,3,1,3,0.0,1318.0,1.0,0.0,0.0,0.0,1.062215477996965,0.0
60,Sudeste,São Paulo,2,1,7,0.0019710906701708277,1522.0,14.0,0.0,0.05387647831800263,0.0,1.0965834428383705,0.003942181340341655
67,Sudeste,São Paulo,3,1,3,0.0,1248.0,8.0,0.0,0.0,0.0,0.0,0.0
68,Sudeste,São Paulo,3,2,5,0.0026455026455026454,1134.0,11.0,0.0,0.059082892416225746,0.0,0.16225749559082892,0.0
71,Nordeste,Rio Grande do Norte,1,1,2,0.018383323071510246,11369.0,72.0,0.2007212595654851,0.5761280675521154,0.06456152695927522,0.32271967631278037,0.00035183393438297124
72,Nordeste,Pernambuco,3,1,7,0.013972055888223553,501.0,5.0,0.0,1.0,1.0518962075848304,0.2155688622754491,0.0
73,Nordeste,Pernambuco,3,1,7,0.023032629558541268,1042.0,9.0,0.0,0.45297504798464494,0.0,0.0,0.0
74,Sudeste,São Paulo,3,1,3,0.0,96.0,5.0,0.0,0.75,0.0,0.0,0.0
76,Sul,Santa Catarina,1,1,3,0.011448633796366967,6551.0,68.0,0.0036635628148374293,0.12593497176003662,0.046252480537322546,0.3202564493970386,0.002747672111128072
77,Sudeste,Rio de Janeiro,3,2,5,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0
78,Sudeste,Espírito Santo,3,1,3,0.0,327.0,4.0,0.0,0.1834862385321101,0.01834862385321101,0.15902140672782875,0.0
79,Sudeste,São Paulo,3,1,3,0.002364066193853428,423.0,6.0,0.0,0.0,0.0,0.009456264775413711,0.0
80,Sul,Santa Catarina,2,2,5,0.014841781013721647,3571.0,35.0,0.1548585830299636,0.044805376645197424,0.013161579389526744,0.09129095491458974,0.0
81,Sul,Santa Catarina,1,2,5,0.0075577949021932425,6748.0,163.0,0.2027267338470658,0.06802015411973918,0.0,0.15989922940130408,0.0
82,Sul,Santa Catarina,1,2,5,0.015729537366548044,14050.0,228.0,0.047473309608540924,0.06633451957295373,0.01202846975088968,1.1857651245551601,0.0007117437722419929
83,Sul,Santa Catarina,1,2,5,0.017385203087237858,12827.0,205.0,0.16480860684493645,0.04030560536368597,0.010212832306852732,0.0979964138146098,0.00031184220784283154
87,Sul,Santa Catarina,2,2,5,0.021319120586275817,3002.0,25.0,0.011992005329780146,0.10159893404397069,0.0,0.41072618254497,0.000999333777481679
93,Sudeste,São Paulo,3,1,3,0.0,715.0,1.0,0.0,0.0,0.0,0.21958041958041957,0.0
94,Sudeste,São Paulo,3,1,3,0.0,388.0,1.0,0.0,0.0,0.0,0.0,0.0
