NO_REGIAO_IES;CO_REGIAO_IES;SG_UF_IES;CO_UF_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;CO_IES;QT_TEC_TOTAL;QT_DOC_EXE;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_CURSO;QT_VG_TOTAL;QT_MAT;QT_MAT_DEFICIENTE;QT_MAT_FINANC;QT_MAT_FIES;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_RESERVA_VAGA;QT_MAT_RVPDEF;QT_MAT_APOIO_SOCIAL;QT_MAT_ATIV_EXTRACURRICULAR;QT_MAT_MOB_ACADEMICA;PROP_PCD
Centro-Oeste;5;MT;51;5103403;1;1;1;1;1;1297;1791;242;1418;1733;1429;102.0;6478.0;15397.0;306.0;0.0;0.0;0.0;0.0;7880.0;202.0;1779.0;4872.0;39.0;0.019874001428849777
Centro-Oeste;5;DF;53;5300108;1;1;1;1;2;3051;2799;218;2555;2645;2321;144.0;10566.0;39509.0;227.0;0.0;0.0;0.0;0.0;16683.0;143.0;6904.0;10575.0;97.0;0.005745526335771596
Nordeste;2;SE;28;2806701;0;1;1;1;3;1759;1809;184;1491;1690;1462;115.0;9089.0;23216.0;495.0;0.0;0.0;0.0;0.0;10597.0;207.0;4584.0;5904.0;6.0;0.021321502412129566
Norte;1;AM;13;1302603;1;1;1;1;4;1358;1818;451;1171;1695;1156;115.0;5600.0;21034.0;222.0;0.0;0.0;0.0;0.0;144.0;1.0;2224.0;864.0;3.0;0.010554340591423409
Nordeste;2;PI;22;2211001;1;1;1;1;5;1235;1495;227;1201;1404;1223;101.0;6690.0;20031.0;298.0;0.0;0.0;0.0;0.0;6661.0;174.0;2278.0;7429.0;0.0;0.014876940741850132
Sudeste;3;MG;31;3146107;0;1;1;1;6;729;885;76;795;873;818;56.0;6232.0;11982.0;136.0;0.0;0.0;0.0;0.0;5706.0;71.0;3191.0;3705.0;49.0;0.011350358871640794
Sudeste;3;SP;35;3548906;0;1;1;1;7;957;1356;56;1297;1269;1247;71.0;4740.0;13363.0;7.0;0.0;0.0;0.0;0.0;746.0;0.0;459.0;300.0;0.0;0.0005238344683080147
Sudeste;3;MG;31;3171303;0;1;1;1;8;1899;1307;101;1178;1264;1201;82.0;4027.0;13257.0;162.0;0.0;0.0;0.0;0.0;5906.0;98.0;2720.0;6666.0;36.0;0.012219959266802444
Sul;4;PR;41;4113700;0;1;1;2;9;634;1623;256;1313;1060;891;58.0;4124.0;13523.0;225.0;0.0;0.0;0.0;0.0;5227.0;86.0;325.0;9774.0;68.0;0.016638319899430598
Sul;4;PR;41;4106902;1;1;2;5;10;926;1343;510;811;472;0;110.0;6294.0;29041.0;157.0;7555.0;376.0;4004.0;1426.0;37.0;0.0;217.0;8079.0;190.0;0.005406149925966736
